a52dec 0.7.4-9
libsystemd 233.75-3
libtar 1.2.20-3
libtasn1 4.12-1
libteam 1.26-1
libtermkey 0.20-1
libthai 0.1.26-1
libtheora 1.1.1-3
libtiff 4.0.8-2
libtiger 0.3.4-4
libtirpc 1.0.2-1
libtommath 1.0-2
libtool 2.4.6-8
libtracker-sparql 1.12.1-1
libtxc_dxtn 1.0.1-6
libunistring 0.9.7-1
libunwind 1.2.1-1
libupnp 1.6.21-2
liburcu 0.9.3-1
libusb 1.0.21-2
libusbmuxd 1.0.10-2
libutempter 1.1.6-2
libutil-linux 2.30-2
libuv 1.13.1-1
libva 1.8.2-1
libvdpau 1.1.1-2
libvisio 0.1.5-4
libvisual 0.4.0-6
libvoikko 4.1.1-1
libvorbis 1.3.5-1
libvpx 1.6.1-1
libvterm 0.1.git1.c4317a6-2
libwacom 0.24-1
libwbclient 4.6.5-1
libwebp 0.6.0-1
libwmf 0.2.8.4-14
libwnck3 3.24.0-1
libwpd 0.10.1-1
libwpg 0.3.1-1
libwps 0.4.6-1
libx11 1.6.5-1
libx264 2:148.20170521-1
libx264-all 2:148.20170521-1
libx86emu 1.11-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxfont2 2.0.1-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.1-1
libxkbcommon-x11 0.7.1-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.4+96+gfb56f80e-1
libxmu 1.1.2-1
libxnvctrl 381.22-2
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.29+42+gac341cbd-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libzmf 0.0.1-2
licenses 20140629-2
lightdm 1:1.22.0-1
lightdm-gtk-greeter 1:2.0.2-1
lightdm-gtk-greeter-settings 1.2.1-5
linux-api-headers 4.10.1-1
linux-firmware 20170422.ade8332-1
linux49 4.9.39-1
linux49-nvidia 1:375.66-12
lldb 4.0.1-5
llvm-libs 4.0.1-5
lm_sensors 3.4.0-2
logrotate 3.12.3-1
lpsolve 5.5.2.5-2
lsb-release 1.4-12
lshw B.02.18-2
lttng-ust 2.9.0-1
lua 5.3.4-2
lua52 5.2.4-2
lua52-bitop 1.0.2-7
lua52-expat 1.3.0-3
lua52-lpeg 1.0.1-1
